group,condition,seed,x_value,x_label,uncertainty_level,before_reward,after_reward,goal_rate_before,goal_rate_after,cds,spi
delay,delay_0,28,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_0,29,0.0,delay=0,0.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,0,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.305556,1.0
delay,delay_1,1,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,2,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.119241,1.0
delay,delay_1,3,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,4,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,5,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,6,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,7,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,8,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,9,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.350649,1.0
delay,delay_1,10,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.145299,1.0
delay,delay_1,11,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.39759,1.0
delay,delay_1,12,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.015471,1.0
delay,delay_1,13,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,14,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,15,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.055556,1.0
delay,delay_1,16,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,17,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,18,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.055556,1.0
delay,delay_1,19,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.108368,1.0
delay,delay_1,20,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,21,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,22,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,23,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.085795,1.0
delay,delay_1,24,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.027778,1.0
delay,delay_1,25,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,26,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.111111,1.0
delay,delay_1,27,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_1,28,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.055556,1.0
delay,delay_1,29,1.0,delay=1,1.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,0,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.236111,1.0
delay,delay_3,1,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,2,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.186992,1.0
delay,delay_3,3,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,4,3.0,delay=3,3.0,-2.0,-2.0,0.0,0.0,0.0,0.0
delay,delay_3,5,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.027778,1.0
delay,delay_3,6,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,7,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,8,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,9,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.062049,1.0
delay,delay_3,10,3.0,delay=3,3.0,-2.0,-2.0,0.0,0.0,0.0,0.0
delay,delay_3,11,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.062918,1.0
delay,delay_3,12,3.0,delay=3,3.0,-2.0,-2.0,0.0,0.0,0.348101,1.0
delay,delay_3,13,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,14,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,15,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,16,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,17,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,18,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.049708,1.0
delay,delay_3,19,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.108368,1.0
delay,delay_3,20,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,21,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,22,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.055556,1.0
delay,delay_3,23,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.015471,1.0
delay,delay_3,24,3.0,delay=3,3.0,0.82,0.82,1.0,1.0,0.0,0.0
delay,delay_3,25,3.0,delay=3,3.0,-2.0,-2.0,0.0,0.0,0.0,0.0
